pathway_id;pathway_reaction;pathway_completeness_perc;pathway_completeness;pathway_candidate_reaction;pathway_key_reactions
PWY-5982;sulfoacetaldehyde degradation II;0;0/1; 0/1;0/1
PWY-5983;trehalose biosynthesis VI;0;0/1; 0/1;0/0
PWY-5984;rifamycin B biosynthesis;0;0/13; 0/13;0/0
PWY-5985;trehalose biosynthesis VII;100;1/1; 0/1;0/0
PWY-5989;stearate biosynthesis II (bacteria and plants);16;1/6; 1/6;0/0
PWY-5994;palmitate biosynthesis (animals and fungi, cytoplasm);94;(54+1)/58; 54/58;0/0
PWY-5995;linoleate biosynthesis I (plants);0;0/4; 0/4;0/0
PWY-5998;"&gamma;-linolenate biosynthesis I (plants)";0;0/1; 0/1;0/0
PWY-5;canavanine biosynthesis;25;1/4; 1/4;0/0
PWY5F9-12;biphenyl degradation;0;0/4; 0/4;0/1
PWY5F9-3233;phthalate degradation (aerobic);0;0/3; 0/3;0/1
PWY-6003;gramicidin S biosynthesis;0;0/3; 0/3;0/0
PWY-6010;apigenin glycosides biosynthesis;0;0/5; 0/5;0/0
PWY-6011;amygdalin and prunasin degradation;0;0/3; 0/3;0/0
PWY-6012-1;acyl carrier protein activation;0;0/1; 0/1;0/0
PWY-6012;acyl carrier protein metabolism;0;0/2; 0/2;0/0
PWY-6019;pseudouridine degradation;0;0/2; 0/2;0/0
PWY-6021;nitrilotriacetate degradation;0;0/2; 0/2;0/0
PWY-6027;capsiconiate biosynthesis;0;0/5; 0/5;0/0
PWY-6028;acetoin degradation;100;1/1; 1/1;0/0
PWY-6032;digitoxigenin biosynthesis;0;0/8; 0/8;0/0
PWY-6038;citrate degradation;0;0/2; 0/2;0/0
PWY-6041;4-sulfocatechol degradation;0;0/4; 0/4;0/0
PWY-6043;ethanedisulfonate degradation;0;0/1; 0/1;0/0
PWY-6044;methanesulfonate degradation;0;0/1; 0/1;0/0
PWY-6045;methylthiopropanonate degradation II (demethylation);0;0/1; 0/1;0/0
PWY-6046;dimethylsulfoniopropanoate degradation I (cleavage);0;0/1; 0/1;0/0
PWY-6047;dimethyl sulfide degradation I;0;0/2; 0/2;0/0
PWY-6048;methylthiopropanoate degradation I (cleavage);0;0/3; 0/3;0/0
PWY-6050;dimethyl sulfoxide degradation;0;0/1; 0/1;0/0
PWY-6052;dimethylsulfoniopropanoate degradation III (demethylation);0;0/1; 0/1;0/0
PWY-6056;dimethylsulfoniopropanoate degradation II (cleavage);0;0/2; 0/2;0/0
PWY-6057;dimethyl sulfide degradation III (oxidation);0;0/1; 0/1;0/0
PWY-6058;dimethyl sulfone degradation;0;0/1; 0/1;0/0
PWY-6059;dimethyl sulfide degradation II (oxidation);0;0/4; 0/4;0/0
PWY-6060;malonate degradation II (biotin-dependent);0;0/4; 0/4;0/0
PWY-6061;bile acid biosynthesis, neutral pathway;31;(2+7)/29; 2/29;0/(1-1) with 1 key reactions of unclear state
PWY-6069;indigo biosynthesis;0;0/1; 0/1;0/0
PWY-6074;zymosterol biosynthesis;21;(0+3)/14; 0/14;0/0
PWY-6075;ergosterol biosynthesis I;20;(0+1)/5; 0/5;0/0
PWY-6077;anthranilate degradation II (aerobic);50;1/2; 1/2;0/0
PWY-6079;anthranilate degradation I (aerobic);0;0/1; 0/1;0/0
PWY-6080;4-ethylphenol degradation (anaerobic);16;1/6; 0/6;0/1
PWY-6081;1,3-dichlorobenzene degradation;0;0/2; 0/2;0/0
PWY-6082;alginate biosynthesis II (bacterial);0;0/7; 0/7;0/1
PWY-6083;chlorobenzene degradation;0;0/2; 0/2;0/0
PWY-6084;3,5-dichlorocatechol degradation;16;(0+1)/6; 0/6;0/0
PWY-6085;2,4-dichlorophenoxyacetate degradation;0;0/2; 0/2;0/1
PWY-6086;4-chloro-2-methylphenoxyacetate degradation;0;0/2; 0/2;0/1
PWY-6087;4-chlorocatechol degradation;0;0/4; 0/4;0/1
PWY-6088;3-chlorobenzoate degradation I (via chlorocatechol);0;0/4; 0/4;0/0
PWY-6089;3-chlorocatechol degradation I (ortho);0;0/5; 0/5;0/1
PWY-6090;1,2-dichlorobenzene degradation;0;0/2; 0/2;0/0
PWY-6091;1,2,4-trichlorobenzene degradation;0;0/2; 0/2;0/0
PWY-6093;4,5-dichlorocatechol degradation;20;(0+1)/5; 0/5;0/(1-1) with 1 key reactions of unclear state
PWY-6094;3,4,6-trichlorocatechol degradation;0;0/6; 0/6;0/(1-1) with 1 key reactions of unclear state
PWY-6095;dammara-20,24-diene biosynthesis;0;0/1; 0/1;0/0
PWY-6098;diploterol biosynthesis;0;0/2; 0/2;0/0
PWY-6099;1,2,4,5-tetrachlorobenzene degradation;0;0/1; 0/1;0/0
PWY-6102;5-chloro-3-methyl-catechol degradation;0;0/2; 0/2;0/0
PWY-6103;3-chlorotoluene degradation I;0;0/2; 0/2;0/0
PWY-6104;3-chlorotoluene degradation II;0;0/3; 0/3;0/1
PWY-6107;chlorosalicylate degradation;28;(0+2)/7; 0/7;0/1
PWY-6116;mannosylfructose biosynthesis;0;0/2; 0/2;0/0
PWY-6120;L-tyrosine biosynthesis III;33;1/3; 1/3;0/1
PWY-6121;5-aminoimidazole ribonucleotide biosynthesis I;0;0/5; 0/5;0/0
PWY-6122;5-aminoimidazole ribonucleotide biosynthesis II;0;0/5; 0/5;0/0
PWY-6123;inosine-5'-phosphate biosynthesis I;16;1/6; 1/6;0/3
PWY-6128;cis-calamenene related sesquiterpenoids biosynthesis;0;0/2; 0/2;0/0
PWY-6130;glycerol degradation III;0;0/2; 0/2;0/1
PWY-6131;glycerol degradation II;0;0/2; 0/2;0/0
PWY-6132;lanosterol biosynthesis;0;0/1; 0/1;0/0
PWY-6138;CMP-N-acetylneuraminate biosynthesis I (eukaryotes);0;0/5; 0/5;0/3
PWY-6139;CMP-N-acetylneuraminate biosynthesis II (bacteria);0;0/3; 0/3;0/3
PWY-6140;CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis;0;0/4; 0/4;0/1
PWY-6143;CMP-pseudaminate biosynthesis;0;0/6; 0/6;0/0
PWY-6147;6-hydroxymethyl-dihydropterin diphosphate biosynthesis I;40;(1+1)/5; 1/5;0/1
PWY-6148;tetrahydromethanopterin biosynthesis;0;0/14; 0/14;0/0
PWY-6153;autoinducer AI-2 biosynthesis I;33;1/3; 1/3;1/1
PWY-6154;autoinducer AI-2 biosynthesis II (Vibrio);33;1/3; 1/3;0/0
PWY-6157;autoinducer AI-1 biosynthesis;0;0/1; 0/1;0/0
PWY-6163;chorismate biosynthesis from 3-dehydroquinate;40;2/5; 2/5;0/0
PWY-6164;3-dehydroquinate biosynthesis I;100;2/2; 2/2;0/0
PWY-6167;flavin biosynthesis II (archaea);20;2/10; 2/10;0/0
PWY-6173;histamine biosynthesis;0;0/1; 0/1;0/0
PWY-6174;mevalonate pathway II (haloarchaea);0;0/8; 0/8;0/1
PWY-6178;2,4,6-trichlorophenol degradation;0;0/5; 0/5;0/0
PWY-6181;histamine degradation;0;0/3; 0/3;0/1
PWY-6183;salicylate degradation I;0;0/1; 0/1;0/0
PWY-6184;methylsalicylate degradation;0;0/2; 0/2;0/0
PWY-6185;4-methylcatechol degradation (ortho cleavage);14;(0+1)/7; 0/7;0/(1-1) with 1 key reactions of unclear state
PWY-6190;2,4-dichlorotoluene degradation;0;0/7; 0/7;0/0
PWY-6191;2,5-dichlorotoluene degradation;0;0/6; 0/6;0/(1-1) with 1 key reactions of unclear state
PWY-6192;3,4-dichlorotoluene degradation;0;0/5; 0/5;0/(1-1) with 1 key reactions of unclear state
PWY-6193;3-chlorocatechol degradation II (ortho);0;0/5; 0/5;0/1
PWY-6197;chlorinated phenols degradation;0;0/4; 0/4;0/0
PWY-6200;2,4,5-trichlorophenoxyacetate degradation;0;0/7; 0/7;0/0
PWY-6210;2-aminophenol degradation;0;0/4; 0/4;0/0
PWY-6214;3-chlorocatechol degradation III (meta pathway);0;0/3; 0/3;0/1
PWY-6215;4-chlorobenzoate degradation;0;0/4; 0/4;0/1
PWY-6216;3-chlorobenzoate degradation II (via protocatechuate);0;0/4; 0/4;0/1
PWY-6217;3,4-dichlorobenzoate degradation;0;0/2; 0/2;0/1
PWY-621;sucrose degradation III (sucrose invertase);50;3/6; 3/6;1/1
PWY-6221;2-chlorobenzoate degradation;0;0/1; 0/1;0/0
PWY-6223;gentisate degradation I;0;0/3; 0/3;0/1
PWY-6224;salicylate degradation II;0;0/1; 0/1;0/0
PWY-6228;3-chlorobenzoate degradation III (via gentisate);0;0/2; 0/2;0/0
PWY-622;starch biosynthesis;80;(6+2)/10; 6/10;1/2
PWY-6239;luteolin glycosides biosynthesis;0;0/3; 0/3;0/0
PWY-6243;bergamotene biosynthesis I;0;0/1; 0/1;0/0
PWY-6262;demethylmenaquinol-8 biosynthesis II;0;0/1; 0/1;0/0
PWY-6268;adenosylcobalamin salvage from cobalamin;33;1/3; 0/3;0/0
PWY-6273;phosphatidylethanolamine biosynthesis III;0;0/1; 0/1;0/0
PWY-6279;myxol-2' fucoside biosynthesis;0;0/6; 0/6;0/0
PWY-6280;synechoxanthin biosynthesis;0;0/6; 0/6;0/0
PWY-6282;palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);0;0/11; 0/11;0/3
PWY-6286;spheroidene and spheroidenone biosynthesis;0;0/6; 0/6;0/0
PWY-6287;neurosporene biosynthesis;0;0/5; 0/5;0/1
PWY-6288;"zeaxanthin-&beta;-D-diglucoside biosynthesis";0;0/2; 0/2;0/0
PWY-6289;petrobactin biosynthesis;0;0/10; 0/10;0/0
PWY-6291;"valencene and 7-epi-&alpha;-selinene biosynthesis";0;0/2; 0/2;0/0
PWY-6294;selinene biosynthesis;0;0/2; 0/2;0/0
PWY-6308;L-cysteine biosynthesis II (tRNA-dependent);0;0/3; 0/3;0/0
PWY-6314;plumbagin biosynthesis;0;0/2; 0/2;0/0
PWY-6317;D-galactose degradation I (Leloir pathway);60;3/5; 3/5;0/0
PWY-6318;L-phenylalanine degradation IV (mammalian, via side chain);36;(2+2)/11; 2/11;2/4
PWY-6321;homotaurine degradation;0;0/2; 0/2;0/0
PWY-6322;phosphinothricin tripeptide biosynthesis;8;(0+2)/25; 0/25;0/0
PWY-6324;rebeccamycin biosynthesis;0;0/6; 0/6;0/0
PWY-6327;tetrathionate oxidation;0;0/1; 0/1;0/0
PWY-6328;L-lysine degradation X;0;0/6; 0/6;0/0
PWY-6336;protocatechuate degradation III (para-cleavage pathway);0;0/4; 0/4;0/0
PWY-6340;5,5'-dehydrodivanillate degradation;0;0/4; 0/4;0/0
PWY-6341;"guaiacylglycerol-&beta;-guaiacyl ether degradation";12;(0+1)/8; 0/8;0/0
PWY-6343;ferulate degradation;0;0/3; 0/3;0/0
PWY-6344;L-ornithine degradation II (Stickland reaction);0;0/8; 0/8;0/0
PWY-6345;K-252 biosynthesis;0;0/7; 0/7;0/0
PWY-6346;staurosporine biosynthesis;0;0/8; 0/8;0/0
PWY-6348;phosphate acquisition;0;0/1; 0/1;0/0
PWY-6373;acrylate degradation;0;0/4; 0/4;0/0
PWY-6375;desferrioxamine E biosynthesis;0;0/5; 0/5;0/0
PWY-6376;desferrioxamine B biosynthesis;0;0/5; 0/5;0/0
PWY-6378;putrebactin biosynthesis;0;0/4; 0/4;0/0
PWY-6379;alcaligin biosynthesis;0;0/5; 0/5;0/0
PWY-6381;bisucaberin biosynthesis;0;0/5; 0/5;0/1
PWY-6383;mono-trans, poly-cis decaprenyl phosphate biosynthesis;60;3/5; 3/5;1/1
PWY-6386;UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing);100;8/8; 7/8;2/2
PWY-6387;UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing);100;8/8; 7/8;2/2
PWY-6388;(S,S)-butanediol degradation;0;0/1; 0/1;0/0
PWY-6389;pyruvate fermentation to (S)-acetoin;50;1/2; 1/2;0/1
PWY-6390;(S,S)-butanediol biosynthesis;0;0/1; 0/1;0/0
PWY-6391;meso-butanediol biosynthesis I;0;0/1; 0/1;0/0
PWY-6392;meso-butanediol biosynthesis II;100;1/1; 0/1;0/0
PWY-6397;mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;11;2/17; 2/17;0/0
PWY-63;"UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)";100;1/1; 1/1;0/0
PWY-6406;salicylate biosynthesis I;0;0/2; 0/2;0/1
PWY-6407;yersiniabactin biosynthesis;0;0/2; 0/2;0/0
PWY-6408;pyochelin biosynthesis;0;0/11; 0/11;0/0
PWY-6409;pyoverdine I biosynthesis;20;(0+2)/10; 0/10;0/0
PWY-6411;ginsenoside degradation I;0;0/4; 0/4;0/0
PWY-6412;ginsenoside degradation II;0;0/2; 0/2;0/0
PWY-6413;ginsenoside degradation III;0;0/1; 0/1;0/0
PWY-6416;quinate degradation II;0;0/3; 0/3;0/0
PWY-6419;shikimate degradation II;0;0/2; 0/2;0/0
PWY-641;proanthocyanidins biosynthesis from flavanols;0;0/6; 0/6;0/0
PWY-6420;pyrroloquinoline quinone biosynthesis;0;0/5; 0/5;0/0
PWY-6421;arsenate detoxification IV (mycothiol);0;0/4; 0/4;0/1
PWY-6422;D-arginine degradation;0;0/2; 0/2;0/1
PWY-6426;uracil degradation II (oxidative);0;0/3; 0/3;0/0
PWY-6430;thymine degradation;0;0/3; 0/3;0/0
PWY-6433;hydroxylated fatty acid biosynthesis (plants);0;0/22; 0/22;0/0
PWY-6454;vancomycin resistance I;33;1/3; 1/3;1/1
PWY-6455;vancomycin resistance II;33;1/3; 1/3;1/1
PWY-6456;serinol biosynthesis;0;0/2; 0/2;0/0
PWY-6457;cinnamoyl-CoA biosynthesis;33;1/3; 0/3;0/0
PWY-6458;benzoyl-CoA biosynthesis;0;0/3; 0/3;0/0
PWY-6459;peptidoglycan cross-bridge biosynthesis I (S. aureus);0;0/3; 0/3;0/0
PWY-6461;peptidoglycan cross-bridge biosynthesis II (E. faecium);0;0/2; 0/2;0/0
PWY-6462;peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis);0;0/2; 0/2;0/0
PWY-6463;peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens);0;0/2; 0/2;0/0
PWY-6464;polyvinyl alcohol degradation;0;0/2; 0/2;0/0
PWY-6466;pyridoxal 5'-phosphate biosynthesis II;100;1/1; 1/1;0/0
PWY-6475;trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria);0;0/7; 0/7;0/1
PWY-6476;cytidylyl molybdenum cofactor biosynthesis;0;0/1; 0/1;0/0
PWY-6478;"GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis";0;0/4; 0/4;0/1
PWY-6481;L-dopa and L-dopachrome biosynthesis;0;0/1; 0/1;0/0
PWY-6486;D-galacturonate degradation II;0;0/5; 0/5;0/1
PWY-6491;D-galacturonate degradation III;0;0/4; 0/4;0/1
PWY-6497;D-galactarate degradation II;0;0/3; 0/3;0/1
PWY-6498;eumelanin biosynthesis;0;0/5; 0/5;0/0
PWY-6499;D-glucarate degradation II;0;0/3; 0/3;0/1
PWY-6501;D-glucuronate degradation II;0;0/4; 0/4;0/1
PWY-6502;8-oxo-(d)GTP detoxification I;0;0/2; 0/2;0/0
PWY-6504;anthranilate degradation IV (aerobic);0;0/1; 0/1;0/0
PWY-6507;4-deoxy-L-threo-hex-4-enopyranuronate degradation;0;0/6; 0/6;0/2
PWY-6509;methanol oxidation to formaldehyde III;0;0/1; 0/1;0/0
PWY-6510;methanol oxidation to formaldehyde II;0;0/1; 0/1;0/0
PWY-6511;3-methylarginine biosynthesis;0;0/3; 0/3;0/0
PWY-6512;hydrogen oxidation III (anaerobic, NADP);0;0/1; 0/1;0/0
PWY-6518;bile acids epimerization;33;(1+1)/6; 1/6;0/0
PWY-6519;8-amino-7-oxononanoate biosynthesis I;0;0/13; 0/13;0/2
PWY-6523;nitrite-dependent anaerobic methane oxidation;0;0/3; 0/3;0/0
PWY-6526;limonene degradation III (to perillate);0;0/3; 0/3;0/0
PWY-6527;stachyose degradation;33;3/9; 3/9;0/0
PWY-6529;chlorate reduction;0;0/2; 0/2;0/1
PWY-6530;perchlorate reduction;0;0/2; 0/2;0/1
PWY-6531;mannitol cycle;0;0/4; 0/4;0/2
PWY-6532;diphenylamine degradation;0;0/1; 0/1;0/0
PWY-6533;aniline degradation;0;0/4; 0/4;0/0
PWY-6534;phenylethylamine degradation II;0;0/2; 0/2;0/1
PWY-6535;4-aminobutanoate degradation I;0;0/2; 0/2;0/0
PWY-6536;4-aminobutanoate degradation III;0;0/2; 0/2;0/1
PWY-6537;4-aminobutanoate degradation II;0;0/2; 0/2;0/0
PWY-6538;caffeine degradation III (bacteria, via demethylation);0;0/7; 0/7;0/1
PWY-6540;costunolide biosynthesis;0;0/8; 0/8;0/0
PWY-6543;4-aminobenzoate biosynthesis;0;0/2; 0/2;0/0
PWY-6545;pyrimidine deoxyribonucleotides de novo biosynthesis III;16;2/12; 2/12;0/1
PWY-6549;L-glutamine biosynthesis III;18;2/11; 2/11;0/0
PWY-6550;carbazole degradation;0;0/4; 0/4;0/0
PWY-6556;pyrimidine ribonucleosides salvage II;50;1/2; 1/2;1/1
PWY-6558;heparan sulfate biosynthesis (late stages);0;0/13; 0/13;0/0
PWY-6559;spermidine biosynthesis II;50;2/4; 2/4;0/2
PWY-6562;norspermidine biosynthesis;33;2/6; 2/6;0/4
PWY-6572;chondroitin sulfate degradation I (bacterial);20;(1+1)/10; 1/10;0/0
PWY-6574;achromobactin biosynthesis;0;0/8; 0/8;0/4
PWY-6578;8-amino-7-oxononanoate biosynthesis III;0;0/2; 0/2;0/1
PWY-6580;phosphatidylinositol biosynthesis I (bacteria);0;0/3; 0/3;0/0
PWY-6581;spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis;0;0/9; 0/9;0/1
PWY-6583;pyruvate fermentation to butanol I;11;1/9; 0/9;0/0
PWY-6587;pyruvate fermentation to ethanol III;0;0/3; 0/3;0/0
PWY-6588;pyruvate fermentation to acetone;0;0/6; 0/6;0/1
PWY-6591;manganese oxidation I;0;0/3; 0/3;0/0
PWY-6592;manganese oxidation II;0;0/2; 0/2;0/0
PWY-6593;sulfoacetate degradation;0;0/2; 0/2;0/1
PWY-6598;sciadonate biosynthesis;0;0/5; 0/5;0/0
PWY-6599;guanine and guanosine salvage II;50;1/2; 1/2;0/0
PWY-6605;adenine and adenosine salvage II;0;0/2; 0/2;0/0
PWY-6608;guanosine nucleotides degradation III;60;3/5; 3/5;0/0
PWY-6609;adenine and adenosine salvage III;50;2/4; 2/4;1/2
PWY-6610;adenine salvage;33;1/3; 1/3;1/1
PWY-6611;adenine and adenosine salvage V;33;1/3; 1/3;0/2
PWY-6613;tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate;50;1/2; 1/2;0/0
PWY-6614;tetrahydrofolate biosynthesis;66;2/3; 2/3;0/0
PWY-6616;sulfolactate degradation I;0;0/3; 0/3;0/2
PWY-6617;adenosine nucleotides degradation III;0;0/1; 0/1;0/0
PWY-6618;guanine and guanosine salvage III;0;0/1; 0/1;0/0
PWY-6619;adenine and adenosine salvage VI;0;0/1; 0/1;0/0
PWY66-201;nicotine degradation IV;0;0/16; 0/16;0/0
PWY-6620;guanine and guanosine salvage;66;2/3; 2/3;0/0
PWY66-21;ethanol degradation II;0;0/3; 0/3;0/1
PWY-6622;heptadecane biosynthesis;33;1/3; 1/3;0/0
PWY-6626;cytidine-5'-diphosphate-glycerol biosynthesis;0;0/4; 0/4;0/2
PWY-6627;salinosporamide A biosynthesis;42;(2+4)/14; 1/14;0/0
PWY-6633;caffeine degradation V (bacteria, via trimethylurate);0;0/6; 0/6;0/0
PWY-6634;3-sulfopropanediol degradation;0;0/3; 0/3;0/0
PWY66-377;pregnenolone biosynthesis;0;0/3; 0/3;0/0
PWY66-378;androgen biosynthesis;16;1/6; 1/6;0/0
PWY-6637;sulfolactate degradation II;25;1/4; 1/4;0/0
PWY66-381;glucocorticoid biosynthesis;0;0/3; 0/3;0/0
PWY66-389;phytol degradation;25;1/4; 1/4;0/1
PWY-6638;sulfolactate degradation III;33;1/3; 1/3;0/0
PWY66-395;aspirin triggered resolvin D biosynthesis;0;0/10; 0/10;0/0
PWY66-398;TCA cycle III (animals);41;5/12; 4/12;0/2
PWY-6640;salicylate degradation IV;0;0/4; 0/4;0/3
PWY66-426;hydrogen sulfide biosynthesis II (mammalian);42;(2+1)/7; 1/7;0/0
PWY66-429;fatty acid biosynthesis initiation (mitochondria);40;2/5; 2/5;0/0
PWY-6642;(R)-cysteate degradation;33;1/3; 1/3;0/0
PWY-6644;fluoroacetate and fluorothreonine biosynthesis;33;(1+1)/6; 1/6;0/1
PWY-6646;fluoroacetate degradation;0;0/1; 0/1;0/0
PWY-6648;rhamnolipid biosynthesis;0;0/3; 0/3;0/0
PWY-6649;glycolate and glyoxylate degradation III;0;0/3; 0/3;0/0
PWY-6655;xanthan biosynthesis;20;(0+2)/10; 0/10;0/1
PWY-6657;polyhydroxydecanoate biosynthesis;0;0/3; 0/3;0/1
PWY-6658;acetan biosynthesis;0;0/10; 0/10;0/1
PWY-6659;fusicoccin A biosynthesis;0;0/8; 0/8;0/0
PWY-6660;2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis;0;0/8; 0/8;0/1
PWY-6661;4-hydroxy-2(1H)-quinolone biosynthesis;0;0/4; 0/4;0/0
PWY-6664;di-myo-inositol phosphate biosynthesis;25;(0+1)/4; 0/4;0/2
PWY-6666;pyocyanin biosynthesis;0;0/2; 0/2;0/0
PWY-6670;citronellol degradation;25;(0+1)/4; 0/4;0/1
PWY-6672;cis-genanyl-CoA degradation;11;1/9; 1/9;1/1
PWY-6675;sulfur oxidation IV (intracellular sulfur);0;0/6; 0/6;0/0
PWY-6677;thiosulfate oxidation IV (multienzyme complex);0;0/3; 0/3;0/0
PWY-6679;jadomycin biosynthesis;14;1/7; 1/7;0/0
PWY-6682;dehydrophos biosynthesis;7;(0+1)/13; 0/13;0/0
PWY-6683;assimilatory sulfate reduction III;33;1/3; 1/3;0/1
PWY-6685;glucosylglycerate biosynthesis II;0;0/1; 0/1;0/0
PWY-6686;mannosylglucosylglycerate biosynthesis I;0;0/3; 0/3;0/0
PWY-6687;mannosylglucosylglycerate biosynthesis II;0;0/2; 0/2;0/0
PWY-6690;cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate;0;0/5; 0/5;0/0
PWY-6691;plaunotol biosynthesis;0;0/3; 0/3;0/0
PWY-6692;Fe(II) oxidation;16;1/6; 1/6;0/1
PWY-6694;oxalate degradation I;0;0/1; 0/1;0/0
PWY-6695;oxalate degradation II;0;0/3; 0/3;0/0
PWY-6696;oxalate degradation III;20;(0+1)/5; 0/5;0/0
PWY-6697;oxalate degradation IV;100;1/1; 1/1;0/0
PWY-6698;oxalate degradation V;0;0/1; 0/1;0/0
PWY-66;GDP-L-fucose biosynthesis I (from GDP-D-mannose);0;0/3; 0/3;0/2
PWY-6700;queuosine biosynthesis I (de novo);50;2/4; 1/4;0/0
PWY-6703;preQ0 biosynthesis;25;1/4; 1/4;0/0
PWY-6707;gallate biosynthesis;0;0/2; 0/2;0/(1-1) with 1 key reactions of unclear state
PWY-6708;ubiquinol-8 biosynthesis (prokaryotic);0;0/8; 0/8;0/1
PWY-6713;L-rhamnose degradation II;14;(0+1)/7; 0/7;0/1
PWY-6714;L-rhamnose degradation III;16;(0+1)/6; 0/6;0/1
PWY-6717;"(1,4)-&beta;-D-xylan degradation";0;0/2; 0/2;0/0
PWY-6718;sulfoacetaldehyde degradation III;0;0/1; 0/1;0/0
PWY-6720;toyocamycin biosynthesis;0;0/5; 0/5;0/0
PWY-6721;sangivamycin biosynthesis;0;0/1; 0/1;0/0
PWY-6722;candicidin biosynthesis;16;1/6; 1/6;0/0
PWY-6728;methylaspartate cycle;30;6/20; 6/20;0/2
PWY-6730;methylhalides biosynthesis (plants);0;0/3; 0/3;0/0
PWY-6742;methane oxidation to methanol II;0;0/1; 0/1;0/0
PWY-6744;hydrogen production I;0;0/1; 0/1;0/0
PWY-6748;nitrate reduction VII (denitrification);20;(0+1)/5; 0/5;0/2
PWY-6749;CMP-legionaminate biosynthesis I;30;(2+1)/10; 2/10;0/1
PWY-6753;S-methyl-5'-thioadenosine degradation III;0;0/2; 0/2;0/0
PWY-6754;S-methyl-5'-thioadenosine degradation I;0;0/3; 0/3;0/1
PWY-6756;S-methyl-5'-thioadenosine degradation II;0;0/1; 0/1;0/0
PWY-6758;hydrogen production II;0;0/1; 0/1;0/0
PWY-6759;hydrogen production III;100;1/1; 1/1;0/0
PWY-6767;4,4'-diapolycopenedioate biosynthesis;11;(0+1)/9; 0/9;0/0
PWY-6769;rhamnogalacturonan type I degradation I;0;0/1; 0/1;0/0
PWY-6771;rhamnogalacturonan type I degradation II (bacteria);0;0/3; 0/3;0/0
PWY-6772;hydrogen production V;0;0/2; 0/2;0/0
PWY-6773;"1,3-&beta;-D-glucan biosynthesis";0;0/1; 0/1;0/0
PWY-6778;laminaribiose degradation;0;0/1; 0/1;0/0
PWY-6780;hydrogen production VI;50;1/2; 1/2;0/0
PWY-6781;chlorogenic acid degradation;0;0/1; 0/1;0/0
PWY-6784;cellulose and hemicellulose degradation (cellulolosome);0;0/3; 0/3;0/0
PWY-6785;hydrogen production VIII;100;1/1; 1/1;0/0
PWY-6787;flavonoid biosynthesis (in equisetum);20;(0+2)/10; 0/10;0/0
PWY-6789;"(1,3)-&beta;-D-xylan degradation";0;0/2; 0/2;0/0
PWY-6790;L-arabinan degradation;0;0/2; 0/2;0/0
PWY-6794;adenosine 5'-phosphoramidate biosynthesis;0;0/1; 0/1;0/0
PWY-6795;diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis;0;0/2; 0/2;0/0
PWY-6805;cellulose degradation I (cellulosome);0;0/2; 0/2;0/0
PWY-6806;carotenoid cleavage;0;0/11; 0/11;0/0
PWY-6808;dTDP-D-forosamine biosynthesis;25;2/8; 2/8;0/1
PWY-6813;glucuronoarabinoxylan degradation;0;0/1; 0/1;0/0
PWY-6815;porphyran degradation;0;0/6; 0/6;0/0
PWY-6816;agarose degradation;0;0/2; 0/2;0/0
PWY-6817;"&lambda;-carrageenan degradation";0;0/2; 0/2;0/0
PWY-6818;ornithine lipid biosynthesis;0;0/2; 0/2;0/2
PWY-681;dibenzothiophene desulfurization;0;0/5; 0/5;0/0
PWY-6821;"&kappa;-carrageenan degradation";0;0/4; 0/4;0/0
PWY-6822;"&iota;-carrageenan degradation";0;0/1; 0/1;0/0
PWY-6823;molybdenum cofactor biosynthesis;12;1/8; 1/8;0/0
PWY-6825;phosphatidylcholine biosynthesis V;0;0/3; 0/3;0/0
PWY-6826;phosphatidylcholine biosynthesis VI;0;0/1; 0/1;0/0
PWY-6827;gellan degradation;0;0/2; 0/2;0/0
PWY-6828;linezolid resistance;100;1/1; 1/1;0/0
PWY-6831;pyrrolnitrin biosynthesis;0;0/4; 0/4;0/0
PWY-6832;2-aminoethylphosphonate degradation II;0;0/2; 0/2;0/1
PWY-6834;spermidine biosynthesis III;0;0/4; 0/4;0/1
PWY-6836;santalene biosynthesis II;0;0/4; 0/4;0/0
PWY-6839;2-aminoethylphosphonate biosynthesis;0;0/3; 0/3;0/1
PWY-6853;ethene biosynthesis II (microbes);0;0/4; 0/4;0/0
PWY-6854;ethene biosynthesis III (microbes);33;1/3; 1/3;0/1
PWY-6863;pyruvate fermentation to hexanol (engineered);0;0/13; 0/13;0/0
PWY-6871;3-methylbutanol biosynthesis (engineered);16;1/6; 1/6;0/0
PWY-6873;long chain fatty acid ester synthesis (engineered);25;1/4; 1/4;0/0
